Time(s),CH1V,CH2V
2.954000e-02,4.910133e+00,3.093333e+00
2.955000e-02,4.882800e+00,3.156933e+00
2.956000e-02,4.903200e+00,3.150133e+00
2.957000e-02,4.896400e+00,3.182000e+00
2.958000e-02,4.910133e+00,3.197867e+00
2.959000e-02,4.878267e+00,3.247867e+00
2.960000e-02,4.907867e+00,3.243333e+00
2.961000e-02,4.889600e+00,3.284267e+00
2.962000e-02,4.907867e+00,3.277467e+00
2.963000e-02,4.885067e+00,3.311600e+00
2.964000e-02,4.900933e+00,3.322933e+00
2.965000e-02,4.882800e+00,3.350133e+00
2.966000e-02,4.889600e+00,3.347867e+00
2.967000e-02,4.905467e+00,3.395600e+00
2.968000e-02,4.905467e+00,3.406933e+00
2.969000e-02,4.894134e+00,3.434267e+00
2.970000e-02,4.912400e+00,3.438800e+00
2.971000e-02,4.896400e+00,3.472933e+00
2.972000e-02,4.914667e+00,3.475200e+00
2.973000e-02,4.871467e+00,3.502400e+00
2.974000e-02,4.903200e+00,3.507067e+00
2.975000e-02,4.880533e+00,3.529733e+00
2.976000e-02,4.919200e+00,3.552400e+00
2.977000e-02,4.885067e+00,3.570667e+00
2.978000e-02,4.907867e+00,3.563867e+00
2.979000e-02,4.894134e+00,3.607067e+00
2.980000e-02,4.903200e+00,3.597867e+00
2.981000e-02,4.894134e+00,3.634267e+00
2.982000e-02,4.900933e+00,3.629733e+00
2.983000e-02,4.891867e+00,3.647867e+00
2.984000e-02,4.919200e+00,3.666133e+00
2.985000e-02,4.900933e+00,3.691067e+00
2.986000e-02,4.903200e+00,3.688800e+00
2.987000e-02,4.882800e+00,3.718400e+00
2.988000e-02,4.903200e+00,3.709333e+00
2.989000e-02,4.889600e+00,3.743333e+00
2.990000e-02,4.907867e+00,3.738800e+00
2.991000e-02,4.882800e+00,3.750267e+00
2.992000e-02,4.923733e+00,3.761600e+00
2.993000e-02,4.905467e+00,3.793333e+00
2.994000e-02,4.900933e+00,3.788800e+00
2.995000e-02,4.894134e+00,3.798000e+00
2.996000e-02,4.914667e+00,3.813867e+00
2.997000e-02,4.882800e+00,3.827467e+00
2.998000e-02,4.900933e+00,3.827467e+00
2.999000e-02,4.894134e+00,3.861600e+00
