Time(s),CH1V,CH2V
-1.000000e-02,2.589333e-01,1.452533e+00
-9.980000e-03,2.461333e-01,1.419467e+00
-9.960000e-03,2.589333e-01,1.381600e+00
-9.940000e-03,2.546667e-01,1.381600e+00
-9.920000e-03,2.677333e-01,1.348533e+00
-9.900000e-03,2.634667e-01,1.334400e+00
-9.880000e-03,2.677333e-01,1.310933e+00
-9.860000e-03,2.200000e-01,1.287200e+00
-9.840000e-03,2.373333e-01,1.254400e+00
-9.820000e-03,2.416000e-01,1.254400e+00
-9.800000e-03,2.461333e-01,1.240267e+00
-9.780000e-03,2.416000e-01,1.235467e+00
-9.760000e-03,2.589333e-01,1.188267e+00
-9.740000e-03,2.634667e-01,1.183467e+00
-9.720000e-03,2.546667e-01,1.155200e+00
-9.700000e-03,2.461333e-01,1.141067e+00
-9.680000e-03,2.416000e-01,1.136267e+00
-9.660000e-03,2.546667e-01,1.103467e+00
-9.640000e-03,2.373333e-01,1.112800e+00
-9.620000e-03,2.546667e-01,1.079733e+00
-9.600000e-03,2.504000e-01,1.070400e+00
-9.580000e-03,2.461333e-01,1.042133e+00
-9.560000e-03,2.504000e-01,1.037333e+00
-9.540000e-03,2.546667e-01,1.018400e+00
-9.520000e-03,2.461333e-01,1.018400e+00
-9.500000e-03,2.288000e-01,9.808000e-01
-9.480000e-03,2.546667e-01,9.760000e-01
-9.460000e-03,2.373333e-01,9.570667e-01
-9.440000e-03,2.589333e-01,9.618667e-01
-9.420000e-03,2.373333e-01,9.288000e-01
-9.400000e-03,2.504000e-01,9.384000e-01
-9.380000e-03,2.504000e-01,9.053333e-01
-9.360000e-03,2.634667e-01,8.912000e-01
-9.340000e-03,2.461333e-01,8.864000e-01
-9.320000e-03,2.546667e-01,8.912000e-01
-9.300000e-03,2.461333e-01,8.674667e-01
-9.280000e-03,2.416000e-01,8.674667e-01
-9.260000e-03,2.416000e-01,8.440000e-01
-9.240000e-03,2.504000e-01,8.392000e-01
-9.220000e-03,2.416000e-01,8.392000e-01
-9.200000e-03,2.589333e-01,8.440000e-01
-9.180000e-03,2.330667e-01,7.874667e-01
-9.160000e-03,2.461333e-01,7.874667e-01
-9.140000e-03,2.416000e-01,7.874667e-01
-9.120000e-03,2.330667e-01,7.826667e-01
-9.100000e-03,2.461333e-01,7.637333e-01
-9.080000e-03,2.461333e-01,7.778667e-01
-9.060000e-03,2.589333e-01,7.637333e-01
-9.040000e-03,2.416000e-01,7.306667e-01
-9.020000e-03,2.546667e-01,7.402667e-01
-9.000000e-03,5.164800e+00,7.778667e-01
-8.980000e-03,5.177867e+00,8.629333e-01
-8.960000e-03,5.160533e+00,9.712000e-01
-8.940000e-03,5.147467e+00,1.032533e+00
-8.920000e-03,5.169067e+00,1.126933e+00
-8.900000e-03,5.186400e+00,1.211733e+00
-8.880000e-03,5.203733e+00,1.310933e+00
-8.860000e-03,5.195200e+00,1.377067e+00
-8.840000e-03,5.177867e+00,1.452533e+00
-8.820000e-03,5.199467e+00,1.528000e+00
-8.800000e-03,5.190667e+00,1.608000e+00
-8.780000e-03,5.177867e+00,1.683467e+00
-8.760000e-03,5.199467e+00,1.744800e+00
-8.740000e-03,5.173333e+00,1.801333e+00
-8.720000e-03,5.182133e+00,1.881600e+00
-8.700000e-03,5.195200e+00,1.957067e+00
-8.680000e-03,5.177867e+00,2.018400e+00
-8.660000e-03,5.186400e+00,2.065600e+00
-8.640000e-03,5.190667e+00,2.155200e+00
-8.620000e-03,5.186400e+00,2.216533e+00
-8.600000e-03,5.173333e+00,2.282667e+00
-8.580000e-03,5.186400e+00,2.325067e+00
-8.560000e-03,5.195200e+00,2.395733e+00
-8.540000e-03,5.182133e+00,2.457067e+00
-8.520000e-03,5.203733e+00,2.485333e+00
-8.500000e-03,5.190667e+00,2.565600e+00
-8.480000e-03,5.199467e+00,2.598667e+00
-8.460000e-03,5.177867e+00,2.664533e+00
-8.440000e-03,5.186400e+00,2.692800e+00
-8.420000e-03,5.190667e+00,2.754133e+00
-8.400000e-03,5.199467e+00,2.792000e+00
-8.380000e-03,5.182133e+00,2.862667e+00
-8.360000e-03,5.182133e+00,2.905067e+00
-8.340000e-03,5.199467e+00,2.966400e+00
-8.320000e-03,5.195200e+00,3.004267e+00
-8.300000e-03,5.199467e+00,3.046667e+00
-8.280000e-03,5.173333e+00,3.093867e+00
-8.260000e-03,5.190667e+00,3.117333e+00
-8.240000e-03,5.203733e+00,3.173867e+00
-8.220000e-03,5.186400e+00,3.211733e+00
-8.200000e-03,5.190667e+00,3.263733e+00
-8.180000e-03,5.199467e+00,3.301333e+00
-8.160000e-03,5.199467e+00,3.329600e+00
-8.140000e-03,5.190667e+00,3.381600e+00
-8.120000e-03,5.186400e+00,3.424000e+00
-8.100000e-03,5.199467e+00,3.466400e+00
-8.080000e-03,5.186400e+00,3.494667e+00
-8.060000e-03,5.186400e+00,3.504267e+00
-8.040000e-03,5.199467e+00,3.560800e+00
-8.020000e-03,5.190667e+00,3.603200e+00
-8.000000e-03,5.186400e+00,3.612533e+00
-7.980000e-03,5.203733e+00,3.641067e+00
-7.960000e-03,5.199467e+00,3.683467e+00
-7.940000e-03,5.186400e+00,3.725867e+00
-7.920000e-03,5.186400e+00,3.744800e+00
-7.900000e-03,5.182133e+00,3.763467e+00
-7.880000e-03,5.186400e+00,3.815467e+00
-7.860000e-03,5.186400e+00,3.810667e+00
-7.840000e-03,5.199467e+00,3.829600e+00
-7.820000e-03,5.199467e+00,3.890933e+00
-7.800000e-03,5.186400e+00,3.919200e+00
-7.780000e-03,5.190667e+00,3.928533e+00
-7.760000e-03,5.195200e+00,3.971200e+00
-7.740000e-03,5.182133e+00,4.004000e+00
-7.720000e-03,5.186400e+00,4.032533e+00
-7.700000e-03,5.173333e+00,4.027733e+00
-7.680000e-03,5.208267e+00,4.079467e+00
-7.660000e-03,5.182133e+00,4.079467e+00
-7.640000e-03,5.195200e+00,4.103200e+00
-7.620000e-03,5.182133e+00,4.126667e+00
-7.600000e-03,5.182133e+00,4.159733e+00
-7.580000e-03,5.199467e+00,4.192800e+00
-7.560000e-03,5.199467e+00,4.173867e+00
-7.540000e-03,5.203733e+00,4.240000e+00
-7.520000e-03,5.186400e+00,4.268267e+00
-7.500000e-03,5.199467e+00,4.287200e+00
-7.480000e-03,5.199467e+00,4.282400e+00
-7.460000e-03,5.186400e+00,4.291733e+00
-7.440000e-03,5.212533e+00,4.315467e+00
-7.420000e-03,5.216800e+00,4.324800e+00
-7.400000e-03,5.186400e+00,4.338933e+00
-7.380000e-03,5.195200e+00,4.381333e+00
-7.360000e-03,5.173333e+00,4.381333e+00
-7.340000e-03,5.186400e+00,4.395733e+00
-7.320000e-03,5.212533e+00,4.428534e+00
-7.300000e-03,5.199467e+00,4.442667e+00
-7.280000e-03,5.208267e+00,4.456800e+00
-7.260000e-03,5.199467e+00,4.456800e+00
-7.240000e-03,5.199467e+00,4.480534e+00
-7.220000e-03,5.199467e+00,4.489867e+00
-7.200000e-03,5.190667e+00,4.522933e+00
-7.180000e-03,5.199467e+00,4.522933e+00
-7.160000e-03,5.195200e+00,4.546667e+00
-7.140000e-03,5.182133e+00,4.560800e+00
-7.120000e-03,5.190667e+00,4.570133e+00
-7.100000e-03,5.199467e+00,4.541867e+00
-7.080000e-03,5.186400e+00,4.603200e+00
-7.060000e-03,5.212533e+00,4.612534e+00
-7.040000e-03,5.212533e+00,4.607733e+00
-7.020000e-03,5.177867e+00,4.645600e+00
-7.000000e-03,5.203733e+00,4.645600e+00
-6.980000e-03,5.199467e+00,4.650400e+00
-6.960000e-03,5.169067e+00,4.650400e+00
-6.940000e-03,5.190667e+00,4.673867e+00
-6.920000e-03,5.199467e+00,4.688000e+00
-6.900000e-03,5.199467e+00,4.688000e+00
-6.880000e-03,5.195200e+00,4.706933e+00
-6.860000e-03,5.195200e+00,4.711733e+00
-6.840000e-03,5.199467e+00,4.725867e+00
-6.820000e-03,5.190667e+00,4.725867e+00
-6.800000e-03,5.203733e+00,4.730400e+00
-6.780000e-03,5.199467e+00,4.749333e+00
-6.760000e-03,5.177867e+00,4.754133e+00
-6.740000e-03,2.589333e-01,4.669067e+00
-6.720000e-03,2.850667e-01,4.546667e+00
-6.700000e-03,2.762667e-01,4.428534e+00
-6.680000e-03,2.762667e-01,4.338933e+00
-6.660000e-03,2.677333e-01,4.235200e+00
-6.640000e-03,2.634667e-01,4.145600e+00
-6.620000e-03,2.762667e-01,4.041867e+00
-6.600000e-03,2.762667e-01,3.966400e+00
-6.580000e-03,2.461333e-01,3.872000e+00
-6.560000e-03,2.634667e-01,3.796533e+00
-6.540000e-03,2.461333e-01,3.706933e+00
-6.520000e-03,2.504000e-01,3.636267e+00
-6.500000e-03,2.762667e-01,3.560800e+00
-6.480000e-03,2.634667e-01,3.504267e+00
-6.460000e-03,2.546667e-01,3.409867e+00
-6.440000e-03,2.504000e-01,3.362667e+00
-6.420000e-03,2.416000e-01,3.287200e+00
-6.400000e-03,2.546667e-01,3.206933e+00
-6.380000e-03,2.634667e-01,3.141067e+00
