Time(s),CH1V,CH2V
-1.000000e-02,2.461333e-01,6.600000e-01
-9.980000e-03,2.546667e-01,6.600000e-01
-9.960000e-03,2.504000e-01,6.365333e-01
-9.940000e-03,2.461333e-01,6.269333e-01
-9.920000e-03,2.461333e-01,6.365333e-01
-9.900000e-03,2.461333e-01,5.893334e-01
-9.880000e-03,2.461333e-01,5.797333e-01
-9.860000e-03,2.504000e-01,5.986667e-01
-9.840000e-03,2.416000e-01,5.704000e-01
-9.820000e-03,2.461333e-01,5.704000e-01
-9.800000e-03,2.114667e-01,5.610667e-01
-9.780000e-03,2.330667e-01,5.562667e-01
-9.760000e-03,2.330667e-01,5.421333e-01
-9.740000e-03,2.416000e-01,5.373333e-01
-9.720000e-03,2.416000e-01,5.421333e-01
-9.700000e-03,2.330667e-01,5.280000e-01
-9.680000e-03,2.416000e-01,5.514666e-01
-9.660000e-03,2.242667e-01,5.373333e-01
-9.640000e-03,2.461333e-01,5.138667e-01
-9.620000e-03,2.461333e-01,5.042667e-01
-9.600000e-03,2.242667e-01,4.949333e-01
-9.580000e-03,2.634667e-01,4.856000e-01
-9.560000e-03,2.200000e-01,4.856000e-01
-9.540000e-03,2.504000e-01,4.901333e-01
-9.520000e-03,2.416000e-01,4.949333e-01
-9.500000e-03,2.330667e-01,4.760000e-01
-9.480000e-03,2.416000e-01,4.714667e-01
-9.460000e-03,2.330667e-01,4.525333e-01
-9.440000e-03,2.416000e-01,4.760000e-01
-9.420000e-03,2.416000e-01,4.618667e-01
-9.400000e-03,2.288000e-01,4.714667e-01
-9.380000e-03,2.634667e-01,4.570667e-01
-9.360000e-03,2.461333e-01,4.477333e-01
-9.340000e-03,2.461333e-01,4.525333e-01
-9.320000e-03,2.461333e-01,4.525333e-01
-9.300000e-03,2.373333e-01,4.477333e-01
-9.280000e-03,2.461333e-01,4.477333e-01
-9.260000e-03,2.504000e-01,4.666667e-01
-9.240000e-03,2.461333e-01,4.336000e-01
-9.220000e-03,2.416000e-01,4.336000e-01
-9.200000e-03,2.330667e-01,4.384000e-01
-9.180000e-03,2.373333e-01,4.242667e-01
-9.160000e-03,2.461333e-01,4.384000e-01
-9.140000e-03,2.416000e-01,4.242667e-01
-9.120000e-03,2.330667e-01,4.194667e-01
-9.100000e-03,2.589333e-01,4.384000e-01
-9.080000e-03,2.288000e-01,4.242667e-01
-9.060000e-03,2.461333e-01,4.146667e-01
-9.040000e-03,2.373333e-01,4.242667e-01
-9.020000e-03,2.416000e-01,4.384000e-01
-9.000000e-03,5.177867e+00,5.042667e-01
-8.980000e-03,5.164800e+00,6.834667e-01
-8.960000e-03,5.164800e+00,8.722667e-01
-8.940000e-03,5.173333e+00,1.023200e+00
-8.920000e-03,5.182133e+00,1.188267e+00
-8.900000e-03,5.169067e+00,1.358133e+00
-8.880000e-03,5.160533e+00,1.523200e+00
-8.860000e-03,5.177867e+00,1.655200e+00
-8.840000e-03,5.173333e+00,1.787200e+00
-8.820000e-03,5.169067e+00,1.919467e+00
-8.800000e-03,5.156000e+00,2.065600e+00
-8.780000e-03,5.177867e+00,2.183467e+00
-8.760000e-03,5.190667e+00,2.310933e+00
-8.740000e-03,5.186400e+00,2.438133e+00
-8.720000e-03,5.186400e+00,2.532533e+00
-8.700000e-03,5.177867e+00,2.660000e+00
-8.680000e-03,5.199467e+00,2.763733e+00
-8.660000e-03,5.169067e+00,2.843733e+00
-8.640000e-03,5.164800e+00,2.947467e+00
-8.620000e-03,5.195200e+00,3.037333e+00
-8.600000e-03,5.177867e+00,3.098400e+00
-8.580000e-03,5.195200e+00,3.206933e+00
-8.560000e-03,5.190667e+00,3.292000e+00
-8.540000e-03,5.199467e+00,3.362667e+00
-8.520000e-03,5.186400e+00,3.433333e+00
-8.500000e-03,5.186400e+00,3.513600e+00
-8.480000e-03,5.208267e+00,3.584267e+00
-8.460000e-03,5.190667e+00,3.655200e+00
-8.440000e-03,5.182133e+00,3.721067e+00
-8.420000e-03,5.195200e+00,3.763467e+00
-8.400000e-03,5.177867e+00,3.872000e+00
-8.380000e-03,5.190667e+00,3.895733e+00
-8.360000e-03,5.190667e+00,3.980533e+00
-8.340000e-03,5.190667e+00,4.018400e+00
-8.320000e-03,5.190667e+00,4.041867e+00
-8.300000e-03,5.212533e+00,4.074934e+00
-8.280000e-03,5.216800e+00,4.154933e+00
-8.260000e-03,5.177867e+00,4.173867e+00
-8.240000e-03,5.177867e+00,4.225867e+00
-8.220000e-03,5.173333e+00,4.268267e+00
-8.200000e-03,5.216800e+00,4.301333e+00
