Time(s),CH1V,CH2V,CH3V
-9.920000e-04,4.726267e+00,1.649600e+00,-8.666667e-03
-9.900000e-04,4.716800e+00,1.989067e+00,-2.480000e-02
-9.880000e-04,4.719200e+00,2.333200e+00,-2.253333e-02
-9.860000e-04,4.723867e+00,2.658667e+00,-1.786667e-02
-9.840000e-04,4.744934e+00,2.958667e+00,-8.666667e-03
-9.820000e-04,4.747334e+00,3.223600e+00,-2.253333e-02
-9.800000e-04,4.777733e+00,3.449200e+00,-2.013333e-02
-9.780000e-04,4.787067e+00,3.658400e+00,-8.666667e-03
-9.760000e-04,4.824533e+00,3.814267e+00,-3.173333e-02
-9.740000e-04,4.829200e+00,3.937467e+00,-2.253333e-02
-9.720000e-04,4.838533e+00,4.044400e+00,-1.560000e-02
-9.700000e-04,4.850267e+00,4.104800e+00,-2.480000e-02
-9.680000e-04,4.866533e+00,4.151333e+00,-2.253333e-02
-9.660000e-04,4.880667e+00,4.174533e+00,-2.946667e-02
-9.640000e-04,4.871334e+00,4.186267e+00,-8.666667e-03
-9.620000e-04,4.885334e+00,4.170000e+00,-2.480000e-02
-9.600000e-04,4.901733e+00,4.172266e+00,-2.013333e-02
-9.580000e-04,4.904000e+00,4.165333e+00,-2.480000e-02
-9.560000e-04,4.904000e+00,4.151333e+00,-3.640000e-02
-9.540000e-04,4.897067e+00,4.123466e+00,-3.173333e-02
-9.520000e-04,4.892400e+00,4.104800e+00,-1.560000e-02
-9.500000e-04,4.897067e+00,4.076933e+00,-2.480000e-02
-9.480000e-04,4.887600e+00,4.086267e+00,-1.560000e-02
-9.460000e-04,4.897067e+00,4.065333e+00,-2.706667e-02
-9.440000e-04,4.892400e+00,4.039733e+00,-1.093333e-02
-9.420000e-04,4.897067e+00,4.042000e+00,-1.786667e-02
-9.400000e-04,4.882934e+00,4.037467e+00,-8.666667e-03
-9.380000e-04,4.897067e+00,4.025733e+00,-2.706667e-02
-9.360000e-04,4.878267e+00,4.030400e+00,-1.560000e-02
-9.340000e-04,4.885334e+00,4.011867e+00,-2.480000e-02
-9.320000e-04,4.894667e+00,4.021200e+00,-2.253333e-02
-9.300000e-04,4.897067e+00,4.014133e+00,-2.946667e-02
-9.280000e-04,4.897067e+00,4.021200e+00,6.666667e-04
-9.260000e-04,4.890000e+00,4.014133e+00,-2.480000e-02
-9.240000e-04,4.894667e+00,4.004800e+00,6.666667e-04
-9.220000e-04,4.887600e+00,4.018800e+00,-1.093333e-02
-9.200000e-04,4.901733e+00,4.016533e+00,-8.666667e-03
-9.180000e-04,4.897067e+00,4.030400e+00,-2.480000e-02
-9.160000e-04,4.911067e+00,4.023467e+00,-1.320000e-02
-9.140000e-04,4.899333e+00,4.030400e+00,-2.480000e-02
-9.120000e-04,4.890000e+00,4.021200e+00,-8.666667e-03
-9.100000e-04,4.901733e+00,4.030400e+00,-1.093333e-02
-9.080000e-04,4.901733e+00,4.028133e+00,-1.560000e-02
-9.060000e-04,4.904000e+00,4.018800e+00,-2.253333e-02
-9.040000e-04,4.894667e+00,4.032800e+00,-2.253333e-02
-9.020000e-04,4.901733e+00,4.018800e+00,-2.253333e-02
-9.000000e-04,4.906400e+00,4.021200e+00,-4.000000e-03
-8.980000e-04,4.897067e+00,4.035067e+00,-1.320000e-02
-8.960000e-04,4.897067e+00,4.023467e+00,-4.000000e-03
-8.940000e-04,4.901733e+00,4.028133e+00,-2.253333e-02
-8.920000e-04,4.901733e+00,4.032800e+00,-8.666667e-03
-8.900000e-04,4.901733e+00,4.028133e+00,-2.253333e-02
-8.880000e-04,4.892400e+00,4.021200e+00,-1.093333e-02
-8.860000e-04,4.908667e+00,4.021200e+00,-2.253333e-02
-8.840000e-04,4.897067e+00,4.018800e+00,-1.320000e-02
-8.820000e-04,4.890000e+00,4.028133e+00,-2.480000e-02
-8.800000e-04,4.897067e+00,4.028133e+00,-6.266667e-03
-8.780000e-04,4.890000e+00,4.011867e+00,-2.013333e-02
-8.760000e-04,4.890000e+00,4.021200e+00,-1.093333e-02
-8.740000e-04,4.897067e+00,4.030400e+00,-2.706667e-02
-8.720000e-04,4.894667e+00,4.025733e+00,-1.320000e-02
-8.700000e-04,4.885334e+00,4.025733e+00,-1.320000e-02
-8.680000e-04,4.871334e+00,4.030400e+00,-1.093333e-02
-8.660000e-04,4.897067e+00,4.032800e+00,-2.706667e-02
-8.640000e-04,4.906400e+00,4.018800e+00,-1.320000e-02
-8.620000e-04,4.897067e+00,4.030400e+00,-1.320000e-02
-8.600000e-04,4.901733e+00,4.023467e+00,-1.320000e-02
-8.580000e-04,4.892400e+00,4.035067e+00,-2.706667e-02
-8.560000e-04,4.887600e+00,4.032800e+00,-1.786667e-02
-8.540000e-04,4.890000e+00,4.030400e+00,-1.786667e-02
-8.520000e-04,4.897067e+00,4.028133e+00,-1.600000e-03
-8.500000e-04,4.894667e+00,4.030400e+00,-2.253333e-02
-8.480000e-04,4.899333e+00,4.028133e+00,-1.600000e-03
-8.460000e-04,4.901733e+00,4.035067e+00,-2.946667e-02
-8.440000e-04,4.897067e+00,4.023467e+00,-1.600000e-03
-8.420000e-04,4.897067e+00,4.018800e+00,-2.480000e-02
-8.400000e-04,4.894667e+00,4.030400e+00,-1.320000e-02
-8.380000e-04,4.899333e+00,4.035067e+00,-2.253333e-02
-8.360000e-04,4.892400e+00,4.028133e+00,-1.560000e-02
-8.340000e-04,4.904000e+00,4.023467e+00,-1.786667e-02
-8.320000e-04,4.894667e+00,4.030400e+00,-1.560000e-02
-8.300000e-04,4.904000e+00,4.021200e+00,-2.706667e-02
-8.280000e-04,4.890000e+00,4.037467e+00,-1.320000e-02
-8.260000e-04,4.897067e+00,4.023467e+00,-2.013333e-02
-8.240000e-04,4.894667e+00,4.028133e+00,-1.786667e-02
-8.220000e-04,4.892400e+00,4.025733e+00,-2.946667e-02
-8.200000e-04,4.887600e+00,4.044400e+00,-2.480000e-02
-8.180000e-04,4.897067e+00,4.023467e+00,-3.173333e-02
-8.160000e-04,4.885334e+00,4.028133e+00,-1.320000e-02
-8.140000e-04,4.908667e+00,4.030400e+00,-2.253333e-02
-8.120000e-04,4.899333e+00,4.028133e+00,-6.266667e-03
-8.100000e-04,4.890000e+00,4.016533e+00,-2.253333e-02
-8.080000e-04,4.897067e+00,4.023467e+00,-8.666667e-03
-8.060000e-04,4.880667e+00,4.018800e+00,-2.946667e-02
-8.040000e-04,4.899333e+00,4.028133e+00,-1.320000e-02
-8.020000e-04,4.892400e+00,4.032800e+00,-2.013333e-02
-8.000000e-04,4.890000e+00,4.025733e+00,-1.560000e-02
-7.980000e-04,4.890000e+00,4.023467e+00,-1.560000e-02
-7.960000e-04,4.892400e+00,4.016533e+00,-4.000000e-03
-7.940000e-04,4.901733e+00,4.023467e+00,-2.253333e-02
-7.920000e-04,4.897067e+00,4.032800e+00,-8.666667e-03
-7.900000e-04,4.892400e+00,4.028133e+00,-2.253333e-02
-7.880000e-04,4.901733e+00,4.021200e+00,-1.560000e-02
-7.860000e-04,4.890000e+00,4.035067e+00,-2.013333e-02
-7.840000e-04,4.890000e+00,4.021200e+00,-2.253333e-02
-7.820000e-04,4.890000e+00,4.032800e+00,-1.786667e-02
