Time(s),CH1V,CH2V,CH3V
-9.920000e-04,4.777733e+00,1.638000e+00,-2.480000e-02
-9.900000e-04,4.761333e+00,1.930933e+00,-2.013333e-02
-9.880000e-04,4.773067e+00,2.189067e+00,-1.320000e-02
-9.860000e-04,4.773067e+00,2.463333e+00,-1.320000e-02
-9.840000e-04,4.794133e+00,2.682000e+00,-3.173333e-02
-9.820000e-04,4.796400e+00,2.900533e+00,-1.093333e-02
-9.800000e-04,4.822134e+00,3.081867e+00,-2.253333e-02
-9.780000e-04,4.833867e+00,3.230667e+00,-1.320000e-02
-9.760000e-04,4.838533e+00,3.360800e+00,-2.253333e-02
-9.740000e-04,4.850267e+00,3.479467e+00,-2.013333e-02
-9.720000e-04,4.854933e+00,3.556133e+00,-2.706667e-02
-9.700000e-04,4.878267e+00,3.651467e+00,-1.093333e-02
-9.680000e-04,4.871334e+00,3.707200e+00,-4.000000e-03
-9.660000e-04,4.890000e+00,3.770000e+00,-1.320000e-02
-9.640000e-04,4.873600e+00,3.795600e+00,-1.093333e-02
-9.620000e-04,4.885334e+00,3.844400e+00,6.666667e-04
-9.600000e-04,4.887600e+00,3.865333e+00,-1.320000e-02
-9.580000e-04,4.897067e+00,3.893200e+00,-8.666667e-03
-9.560000e-04,4.880667e+00,3.911867e+00,-1.320000e-02
-9.540000e-04,4.897067e+00,3.918800e+00,-6.266667e-03
-9.520000e-04,4.897067e+00,3.928133e+00,-2.706667e-02
-9.500000e-04,4.897067e+00,3.942133e+00,-1.560000e-02
-9.480000e-04,4.901733e+00,3.942133e+00,-2.480000e-02
-9.460000e-04,4.892400e+00,3.951333e+00,-1.560000e-02
-9.440000e-04,4.904000e+00,3.956000e+00,-1.560000e-02
-9.420000e-04,4.885334e+00,3.960667e+00,-1.560000e-02
-9.400000e-04,4.904000e+00,3.970000e+00,-1.786667e-02
-9.380000e-04,4.899333e+00,3.953733e+00,-2.013333e-02
-9.360000e-04,4.904000e+00,3.956000e+00,-1.320000e-02
-9.340000e-04,4.897067e+00,3.960667e+00,-2.013333e-02
-9.320000e-04,4.904000e+00,3.967600e+00,-2.480000e-02
-9.300000e-04,4.899333e+00,3.960667e+00,-1.786667e-02
-9.280000e-04,4.899333e+00,3.974667e+00,-2.480000e-02
-9.260000e-04,4.901733e+00,3.972267e+00,-1.560000e-02
-9.240000e-04,4.913333e+00,3.974667e+00,-3.640000e-02
-9.220000e-04,4.904000e+00,3.967600e+00,-1.560000e-02
-9.200000e-04,4.892400e+00,3.970000e+00,-1.093333e-02
-9.180000e-04,4.915733e+00,3.976933e+00,-1.093333e-02
-9.160000e-04,4.904000e+00,3.965333e+00,-1.786667e-02
-9.140000e-04,4.897067e+00,3.990933e+00,-8.666667e-03
-9.120000e-04,4.906400e+00,3.970000e+00,-1.786667e-02
-9.100000e-04,4.906400e+00,3.967600e+00,-1.600000e-03
-9.080000e-04,4.892400e+00,3.974667e+00,-6.266667e-03
-9.060000e-04,4.897067e+00,3.958400e+00,-1.600000e-03
-9.040000e-04,4.915733e+00,3.960667e+00,-2.013333e-02
-9.020000e-04,4.911067e+00,3.972267e+00,-1.093333e-02
-9.000000e-04,4.899333e+00,3.976933e+00,-1.786667e-02
-8.980000e-04,4.897067e+00,3.963067e+00,-6.266667e-03
-8.960000e-04,4.906400e+00,3.979333e+00,-1.786667e-02
-8.940000e-04,4.908667e+00,3.972267e+00,-2.253333e-02
-8.920000e-04,4.904000e+00,3.963067e+00,-2.253333e-02
-8.900000e-04,4.899333e+00,3.972267e+00,-4.000000e-03
-8.880000e-04,4.915733e+00,3.965333e+00,-2.706667e-02
-8.860000e-04,4.897067e+00,3.976933e+00,-1.786667e-02
-8.840000e-04,4.906400e+00,3.965333e+00,-2.480000e-02
-8.820000e-04,4.894667e+00,3.974667e+00,-1.093333e-02
-8.800000e-04,4.901733e+00,3.976933e+00,-2.253333e-02
-8.780000e-04,4.913333e+00,3.965333e+00,-2.013333e-02
-8.760000e-04,4.904000e+00,3.967600e+00,-1.786667e-02
-8.740000e-04,4.913333e+00,3.967600e+00,-2.253333e-02
-8.720000e-04,4.913333e+00,3.981600e+00,-2.253333e-02
-8.700000e-04,4.915733e+00,3.986267e+00,-1.093333e-02
-8.680000e-04,4.904000e+00,3.990933e+00,-2.480000e-02
-8.660000e-04,4.906400e+00,3.981600e+00,-1.320000e-02
-8.640000e-04,4.915733e+00,3.979333e+00,-1.786667e-02
-8.620000e-04,4.906400e+00,3.967600e+00,-2.013333e-02
-8.600000e-04,4.920400e+00,3.967600e+00,-3.413333e-02
-8.580000e-04,4.908667e+00,3.979333e+00,-1.786667e-02
-8.560000e-04,4.915733e+00,3.976933e+00,-1.560000e-02
-8.540000e-04,4.897067e+00,3.979333e+00,-3.173333e-02
-8.520000e-04,4.904000e+00,3.967600e+00,-1.786667e-02
-8.500000e-04,4.901733e+00,3.976933e+00,-1.560000e-02
-8.480000e-04,4.897067e+00,3.974667e+00,-3.413333e-02
-8.460000e-04,4.892400e+00,3.988533e+00,-1.560000e-02
-8.440000e-04,4.890000e+00,3.979333e+00,-2.253333e-02
-8.420000e-04,4.908667e+00,3.972267e+00,-2.480000e-02
-8.400000e-04,4.904000e+00,3.981600e+00,-1.320000e-02
-8.380000e-04,4.906400e+00,3.984000e+00,-1.560000e-02
-8.360000e-04,4.913333e+00,3.976933e+00,-2.253333e-02
-8.340000e-04,4.906400e+00,3.986267e+00,-1.786667e-02
-8.320000e-04,4.911067e+00,3.976933e+00,-1.320000e-02
-8.300000e-04,4.913333e+00,3.986267e+00,-1.560000e-02
-8.280000e-04,4.925067e+00,3.988533e+00,-2.013333e-02
-8.260000e-04,4.897067e+00,3.974667e+00,-2.013333e-02
-8.240000e-04,4.915733e+00,3.974667e+00,-1.320000e-02
-8.220000e-04,4.908667e+00,3.979333e+00,-1.560000e-02
-8.200000e-04,4.918133e+00,3.984000e+00,-3.413333e-02
-8.180000e-04,4.915733e+00,3.986267e+00,-2.013333e-02
-8.160000e-04,4.908667e+00,3.995600e+00,-1.320000e-02
-8.140000e-04,4.922800e+00,3.976933e+00,-8.666667e-03
-8.120000e-04,4.913333e+00,3.967600e+00,-2.013333e-02
-8.100000e-04,4.906400e+00,3.979333e+00,-8.666667e-03
-8.080000e-04,4.922800e+00,3.972267e+00,-2.253333e-02
-8.060000e-04,4.920400e+00,3.972267e+00,-2.013333e-02
-8.040000e-04,4.885334e+00,3.988533e+00,-2.706667e-02
-8.020000e-04,4.904000e+00,3.976933e+00,-1.600000e-03
-8.000000e-04,4.911067e+00,3.981600e+00,-1.560000e-02
-7.980000e-04,4.908667e+00,3.972267e+00,-8.666667e-03
-7.960000e-04,4.904000e+00,3.974667e+00,-1.093333e-02
-7.940000e-04,4.908667e+00,3.986267e+00,-1.560000e-02
-7.920000e-04,4.908667e+00,3.986267e+00,-2.253333e-02
-7.900000e-04,4.897067e+00,3.986267e+00,-8.666667e-03
-7.880000e-04,4.894667e+00,3.976933e+00,-2.480000e-02
-7.860000e-04,4.908667e+00,3.990933e+00,-3.173333e-02
-7.840000e-04,4.911067e+00,3.967600e+00,-2.480000e-02
-7.820000e-04,4.904000e+00,3.986267e+00,-2.013333e-02
-7.800000e-04,4.915733e+00,3.974667e+00,-2.706667e-02
-7.780000e-04,4.915733e+00,3.981600e+00,-2.013333e-02
-7.760000e-04,4.908667e+00,3.979333e+00,-6.266667e-03
-7.740000e-04,4.911067e+00,3.984000e+00,-2.013333e-02
-7.720000e-04,4.908667e+00,3.974667e+00,-1.560000e-02
-7.700000e-04,4.918133e+00,3.974667e+00,-1.786667e-02
-7.680000e-04,4.901733e+00,3.970000e+00,-2.480000e-02
-7.660000e-04,4.894667e+00,3.976933e+00,-2.946667e-02
-7.640000e-04,4.920400e+00,3.970000e+00,-2.253333e-02
-7.620000e-04,4.920400e+00,3.976933e+00,-1.320000e-02
-7.600000e-04,4.911067e+00,3.976933e+00,-2.480000e-02
-7.580000e-04,4.911067e+00,3.988533e+00,-1.560000e-02
-7.560000e-04,4.901733e+00,3.984000e+00,-1.320000e-02
-7.540000e-04,4.906400e+00,3.986267e+00,-1.560000e-02
-7.520000e-04,4.913333e+00,3.976933e+00,-2.253333e-02
-7.500000e-04,4.906400e+00,3.972267e+00,-1.320000e-02
-7.480000e-04,4.911067e+00,3.970000e+00,-2.253333e-02
-7.460000e-04,4.906400e+00,3.990933e+00,-6.266667e-03
-7.440000e-04,4.920400e+00,3.965333e+00,-8.666667e-03
-7.420000e-04,4.904000e+00,3.986267e+00,-1.093333e-02
-7.400000e-04,4.899333e+00,3.984000e+00,-1.093333e-02
-7.380000e-04,4.904000e+00,3.986267e+00,-1.093333e-02
-7.360000e-04,4.904000e+00,3.981600e+00,-2.706667e-02
-7.340000e-04,4.908667e+00,3.976933e+00,-1.320000e-02
-7.320000e-04,4.906400e+00,3.974667e+00,-2.253333e-02
-7.300000e-04,4.901733e+00,3.967600e+00,-1.320000e-02
-7.280000e-04,4.906400e+00,3.974667e+00,-3.640000e-02
-7.260000e-04,4.906400e+00,3.976933e+00,-1.560000e-02
-7.240000e-04,4.913333e+00,3.970000e+00,-2.480000e-02
-7.220000e-04,4.906400e+00,3.972267e+00,-1.560000e-02
-7.200000e-04,4.904000e+00,3.979333e+00,-1.320000e-02
-7.180000e-04,4.913333e+00,3.974667e+00,-2.253333e-02
-7.160000e-04,4.925067e+00,3.963067e+00,-2.253333e-02
-7.140000e-04,4.899333e+00,3.979333e+00,-1.786667e-02
-7.120000e-04,4.913333e+00,3.974667e+00,-2.253333e-02
-7.100000e-04,4.920400e+00,3.979333e+00,-4.000000e-03
-7.080000e-04,4.906400e+00,3.976933e+00,-1.786667e-02
-7.060000e-04,4.906400e+00,3.979333e+00,-1.093333e-02
-7.040000e-04,4.920400e+00,3.988533e+00,-1.786667e-02
-7.020000e-04,4.911067e+00,3.986267e+00,-2.013333e-02
-7.000000e-04,4.915733e+00,3.981600e+00,-2.946667e-02
-6.980000e-04,4.901733e+00,3.979333e+00,-1.600000e-03
-6.960000e-04,4.911067e+00,3.976933e+00,-1.093333e-02
-6.940000e-04,4.908667e+00,3.979333e+00,-1.093333e-02
-6.920000e-04,4.897067e+00,3.979333e+00,-1.560000e-02
-6.900000e-04,4.906400e+00,3.981600e+00,-2.706667e-02
-6.880000e-04,4.904000e+00,3.970000e+00,-1.560000e-02
-6.860000e-04,4.894667e+00,3.986267e+00,-8.666667e-03
-6.840000e-04,4.901733e+00,3.979333e+00,-2.253333e-02
-6.820000e-04,4.913333e+00,3.984000e+00,-1.320000e-02
-6.800000e-04,4.904000e+00,3.970000e+00,-3.866667e-02
-6.780000e-04,4.904000e+00,3.981600e+00,-1.560000e-02
-6.760000e-04,4.906400e+00,3.974667e+00,-2.706667e-02
-6.740000e-04,4.913333e+00,3.976933e+00,-1.093333e-02
-6.720000e-04,4.915733e+00,3.974667e+00,-2.480000e-02
-6.700000e-04,4.911067e+00,3.976933e+00,-2.013333e-02
-6.680000e-04,4.920400e+00,3.970000e+00,-1.786667e-02
-6.660000e-04,4.897067e+00,3.988533e+00,-1.093333e-02
-6.640000e-04,4.913333e+00,3.981600e+00,-2.253333e-02
-6.620000e-04,4.906400e+00,3.984000e+00,-2.013333e-02
-6.600000e-04,4.915733e+00,3.988533e+00,-2.253333e-02
-6.580000e-04,4.932133e+00,3.997867e+00,-6.266667e-03
-6.560000e-04,4.908667e+00,3.981600e+00,-1.093333e-02
-6.540000e-04,4.908667e+00,3.986267e+00,-1.093333e-02
-6.520000e-04,4.911067e+00,3.981600e+00,-1.320000e-02
-6.500000e-04,4.915733e+00,3.997867e+00,-1.786667e-02
-6.480000e-04,4.915733e+00,3.979333e+00,-3.640000e-02
-6.460000e-04,4.906400e+00,3.974667e+00,-8.666667e-03
-6.440000e-04,4.915733e+00,3.988533e+00,-1.786667e-02
-6.420000e-04,4.913333e+00,3.988533e+00,-1.560000e-02
