Time(s),CH1V,CH2V
2.954000e-02,4.896400e+00,2.345600e+00
2.955000e-02,4.898667e+00,2.384133e+00
2.956000e-02,4.903200e+00,2.386400e+00
2.957000e-02,4.882800e+00,2.429600e+00
2.958000e-02,4.903200e+00,2.420533e+00
2.959000e-02,4.882800e+00,2.452400e+00
2.960000e-02,4.907867e+00,2.456933e+00
2.961000e-02,4.894134e+00,2.491067e+00
2.962000e-02,4.905467e+00,2.495600e+00
2.963000e-02,4.896400e+00,2.531867e+00
2.964000e-02,4.905467e+00,2.529600e+00
2.965000e-02,4.880533e+00,2.552400e+00
2.966000e-02,4.896400e+00,2.559200e+00
2.967000e-02,4.896400e+00,2.600133e+00
2.968000e-02,4.907867e+00,2.595600e+00
2.969000e-02,4.905467e+00,2.638800e+00
2.970000e-02,4.882800e+00,2.620533e+00
2.971000e-02,4.889600e+00,2.647867e+00
2.972000e-02,4.907867e+00,2.647867e+00
2.973000e-02,4.905467e+00,2.693333e+00
2.974000e-02,4.912400e+00,2.691067e+00
2.975000e-02,4.885067e+00,2.720533e+00
2.976000e-02,4.912400e+00,2.716000e+00
2.977000e-02,4.882800e+00,2.752400e+00
2.978000e-02,4.921467e+00,2.750133e+00
2.979000e-02,4.912400e+00,2.784267e+00
2.980000e-02,4.905467e+00,2.782000e+00
2.981000e-02,4.889600e+00,2.806933e+00
2.982000e-02,4.914667e+00,2.806933e+00
2.983000e-02,4.894134e+00,2.843333e+00
2.984000e-02,4.907867e+00,2.843333e+00
2.985000e-02,4.885067e+00,2.870533e+00
2.986000e-02,4.914667e+00,2.870533e+00
2.987000e-02,4.889600e+00,2.891067e+00
2.988000e-02,4.912400e+00,2.897867e+00
2.989000e-02,4.889600e+00,2.925200e+00
2.990000e-02,4.903200e+00,2.918267e+00
2.991000e-02,4.898667e+00,2.956933e+00
2.992000e-02,4.894134e+00,2.943333e+00
2.993000e-02,4.907867e+00,2.977467e+00
2.994000e-02,4.912400e+00,2.968267e+00
2.995000e-02,4.896400e+00,3.002400e+00
2.996000e-02,4.907867e+00,2.995600e+00
2.997000e-02,4.898667e+00,3.034267e+00
2.998000e-02,4.894134e+00,3.029733e+00
2.999000e-02,4.903200e+00,3.056933e+00
3.000000e-02,4.926000e+00,3.045600e+00
3.001000e-02,4.885067e+00,3.077467e+00
3.002000e-02,4.907867e+00,3.075200e+00
3.003000e-02,4.889600e+00,3.097867e+00
3.004000e-02,4.912400e+00,3.102400e+00
3.005000e-02,4.889600e+00,3.118400e+00
3.006000e-02,4.907867e+00,3.138800e+00
3.007000e-02,4.896400e+00,3.150133e+00
3.008000e-02,4.894134e+00,3.156933e+00
3.009000e-02,4.882800e+00,3.179733e+00
3.010000e-02,4.907867e+00,3.177467e+00
3.011000e-02,4.889600e+00,3.200133e+00
3.012000e-02,4.903200e+00,3.191067e+00
3.013000e-02,4.891867e+00,3.204667e+00
3.014000e-02,4.910133e+00,3.225200e+00
3.015000e-02,4.903200e+00,3.243333e+00
3.016000e-02,4.923733e+00,3.247867e+00
3.017000e-02,4.894134e+00,3.256933e+00
3.018000e-02,4.907867e+00,3.266133e+00
3.019000e-02,4.882800e+00,3.284267e+00
3.020000e-02,4.900933e+00,3.261467e+00
3.021000e-02,4.889600e+00,3.300133e+00
3.022000e-02,4.903200e+00,3.306933e+00
3.023000e-02,4.896400e+00,3.322933e+00
3.024000e-02,4.910133e+00,3.327467e+00
3.025000e-02,4.903200e+00,3.368400e+00
3.026000e-02,4.919200e+00,3.338800e+00
3.027000e-02,4.896400e+00,3.370667e+00
3.028000e-02,4.907867e+00,3.370667e+00
3.029000e-02,4.894134e+00,3.388800e+00
3.030000e-02,4.907867e+00,3.382000e+00
3.031000e-02,4.898667e+00,3.406933e+00
3.032000e-02,4.910133e+00,3.391067e+00
3.033000e-02,4.896400e+00,3.418400e+00
3.034000e-02,4.910133e+00,3.400133e+00
3.035000e-02,4.891867e+00,3.445600e+00
3.036000e-02,4.907867e+00,3.438800e+00
3.037000e-02,4.898667e+00,3.443333e+00
3.038000e-02,4.900933e+00,3.434267e+00
3.039000e-02,4.894134e+00,3.484267e+00
3.040000e-02,4.926000e+00,3.484267e+00
3.041000e-02,4.900933e+00,3.491067e+00
3.042000e-02,4.912400e+00,3.488800e+00
