Time(s),CH1V,CH2V
-1.000000e-03,-2.278800e+00,-5.156000e-01
-9.980000e-04,2.592667e+00,-3.577333e-01
-9.960000e-04,2.518400e+00,-1.906667e-01
-9.940000e-04,2.478933e+00,-7.173333e-02
-9.920000e-04,2.413867e+00,4.026667e-02
-9.900000e-04,2.379067e+00,1.157333e-01
-9.880000e-04,2.337333e+00,1.958667e-01
-9.860000e-04,2.290933e+00,2.438667e-01
-9.840000e-04,2.288533e+00,2.920000e-01
-9.820000e-04,2.265333e+00,3.240000e-01
-9.800000e-04,2.246800e+00,3.605333e-01
-9.780000e-04,2.226000e+00,3.880000e-01
-9.760000e-04,2.205067e+00,4.109333e-01
-9.740000e-04,2.205067e+00,4.222667e-01
-9.720000e-04,2.207333e+00,4.292000e-01
-9.700000e-04,2.186533e+00,4.497333e-01
-9.680000e-04,2.188800e+00,4.384000e-01
-9.660000e-04,2.170267e+00,4.566667e-01
-9.640000e-04,2.179467e+00,4.566667e-01
-9.620000e-04,2.188800e+00,4.681333e-01
-9.600000e-04,2.184133e+00,4.817334e-01
-9.580000e-04,2.172533e+00,4.657333e-01
-9.560000e-04,2.172533e+00,4.794667e-01
-9.540000e-04,2.163333e+00,4.772000e-01
-9.520000e-04,2.167867e+00,4.794667e-01
-9.500000e-04,2.167867e+00,4.726667e-01
-9.480000e-04,2.165600e+00,4.794667e-01
-9.460000e-04,2.174933e+00,4.886667e-01
-9.440000e-04,2.165600e+00,4.772000e-01
-9.420000e-04,2.177200e+00,4.772000e-01
-9.400000e-04,2.165600e+00,4.932000e-01
-9.380000e-04,2.165600e+00,4.886667e-01
-9.360000e-04,2.172533e+00,4.794667e-01
-9.340000e-04,2.165600e+00,4.841333e-01
-9.320000e-04,2.165600e+00,4.817334e-01
-9.300000e-04,2.179467e+00,4.886667e-01
-9.280000e-04,2.165600e+00,4.864000e-01
-9.260000e-04,2.160933e+00,4.841333e-01
-9.240000e-04,2.154000e+00,4.726667e-01
-9.220000e-04,2.158667e+00,4.909333e-01
-9.200000e-04,2.172533e+00,4.864000e-01
-9.180000e-04,2.170267e+00,4.841333e-01
-9.160000e-04,2.177200e+00,4.841333e-01
-9.140000e-04,2.170267e+00,4.841333e-01
-9.120000e-04,2.160933e+00,4.954667e-01
-9.100000e-04,2.167867e+00,4.794667e-01
-9.080000e-04,2.179467e+00,4.794667e-01
-9.060000e-04,2.158667e+00,4.841333e-01
-9.040000e-04,2.163333e+00,4.817334e-01
-9.020000e-04,2.167867e+00,4.886667e-01
-9.000000e-04,2.167867e+00,4.794667e-01
-8.980000e-04,2.172533e+00,4.886667e-01
-8.960000e-04,2.167867e+00,4.932000e-01
-8.940000e-04,2.170267e+00,4.909333e-01
-8.920000e-04,2.167867e+00,4.909333e-01
-8.900000e-04,2.174933e+00,4.978667e-01
-8.880000e-04,2.167867e+00,4.909333e-01
-8.860000e-04,2.174933e+00,4.794667e-01
-8.840000e-04,2.156267e+00,4.841333e-01
-8.820000e-04,2.167867e+00,4.909333e-01
-8.800000e-04,2.163333e+00,4.864000e-01
-8.780000e-04,2.170267e+00,4.932000e-01
-8.760000e-04,2.177200e+00,4.932000e-01
-8.740000e-04,2.163333e+00,4.841333e-01
-8.720000e-04,2.165600e+00,4.772000e-01
-8.700000e-04,2.179467e+00,4.886667e-01
-8.680000e-04,2.174933e+00,4.704000e-01
-8.660000e-04,2.177200e+00,4.726667e-01
-8.640000e-04,2.163333e+00,4.909333e-01
-8.620000e-04,2.167867e+00,4.864000e-01
-8.600000e-04,2.172533e+00,4.817334e-01
-8.580000e-04,2.167867e+00,4.932000e-01
-8.560000e-04,2.165600e+00,4.932000e-01
