Time(s),CH1V,CH2V
-6.300000e-02,2.382000e+00,2.361067e+00
-6.287400e-02,2.338933e+00,2.340667e+00
-6.274800e-02,2.325200e+00,2.313467e+00
-6.262200e-02,2.275333e+00,2.279600e+00
-6.249600e-02,2.241333e+00,2.261467e+00
-6.237000e-02,2.200533e+00,2.220667e+00
-6.224400e-02,2.161867e+00,2.186667e+00
-6.211800e-02,2.118800e+00,2.136933e+00
-6.199200e-02,2.059867e+00,2.096133e+00
-6.186600e-02,1.996267e+00,2.034933e+00
-6.174000e-02,1.946400e+00,1.998800e+00
-6.161400e-02,1.869200e+00,1.935333e+00
-6.148800e-02,1.835200e+00,1.887733e+00
-6.136200e-02,1.764933e+00,1.822133e+00
-6.123600e-02,1.705867e+00,1.779067e+00
-6.111000e-02,1.633333e+00,1.702133e+00
-6.098400e-02,1.560667e+00,1.643200e+00
-6.085800e-02,1.488133e+00,1.573067e+00
-6.073200e-02,1.422267e+00,1.502800e+00
-6.060600e-02,1.333867e+00,1.430400e+00
-6.048000e-02,1.256667e+00,1.360133e+00
-6.035400e-02,1.177333e+00,1.276400e+00
-6.022800e-02,1.111467e+00,1.208400e+00
-6.010200e-02,1.007067e+00,1.129200e+00
-5.997600e-02,9.368000e-01,1.036267e+00
-5.985000e-02,8.482667e-01,9.661334e-01
-5.972400e-02,7.598667e-01,8.800000e-01
-5.959800e-02,6.758667e-01,8.030667e-01
-5.947200e-02,5.896000e-01,7.237334e-01
-5.934600e-02,4.944000e-01,6.196000e-01
-5.922000e-02,3.990667e-01,5.404000e-01
-5.909400e-02,3.242667e-01,4.406667e-01
-5.896800e-02,2.334667e-01,3.728000e-01
-5.884200e-02,1.381333e-01,2.777333e-01
-5.871600e-02,4.746667e-02,1.893333e-01
-5.859000e-02,-5.240000e-02,9.200000e-02
-5.846400e-02,-1.340000e-01,1.266667e-02
-5.833800e-02,-2.361333e-01,-9.146667e-02
-5.821200e-02,-3.224000e-01,-1.729333e-01
-5.808600e-02,-4.130667e-01,-2.409333e-01
-5.796000e-02,-4.993334e-01,-3.518667e-01
-5.783400e-02,-5.946667e-01,-4.198667e-01
-5.770800e-02,-6.853333e-01,-5.217333e-01
-5.758200e-02,-7.716000e-01,-6.122667e-01
-5.745600e-02,-8.646667e-01,-6.938667e-01
-5.733000e-02,-9.440000e-01,-7.821333e-01
-5.720400e-02,-1.018933e+00,-8.592000e-01
-5.707800e-02,-1.098267e+00,-9.610667e-01
-5.695200e-02,-1.184533e+00,-1.035733e+00
-5.682600e-02,-1.268400e+00,-1.115067e+00
-5.670000e-02,-1.345600e+00,-1.194267e+00
-5.657400e-02,-1.420400e+00,-1.273600e+00
-5.644800e-02,-1.490800e+00,-1.341467e+00
-5.632200e-02,-1.574667e+00,-1.418533e+00
-5.619600e-02,-1.617867e+00,-1.493200e+00
-5.607000e-02,-1.713067e+00,-1.561200e+00
-5.594400e-02,-1.778933e+00,-1.633600e+00
-5.581800e-02,-1.837867e+00,-1.703867e+00
-5.569200e-02,-1.903733e+00,-1.760400e+00
-5.556600e-02,-1.949067e+00,-1.830667e+00
