Time(s),CH1V,CH2V
-4.850000e-04,1.932800e+00,1.848000e-01
-4.840300e-04,1.881733e+00,2.097333e-01
-4.830600e-04,1.819867e+00,2.142667e-01
-4.820900e-04,1.768000e+00,2.153333e-01
-4.811200e-04,1.713867e+00,2.210667e-01
-4.801500e-04,1.640133e+00,2.414667e-01
-4.791800e-04,1.564133e+00,2.392000e-01
-4.782100e-04,1.499200e+00,2.417333e-01
-4.772400e-04,1.429067e+00,2.528000e-01
-4.762700e-04,1.362133e+00,2.490667e-01
-4.753000e-04,1.293600e+00,2.573333e-01
-4.743300e-04,1.203600e+00,2.561333e-01
-4.733600e-04,1.130800e+00,2.641333e-01
-4.723900e-04,1.060667e+00,2.634667e-01
-4.714200e-04,9.730667e-01,2.692000e-01
-4.704500e-04,8.829333e-01,2.714667e-01
-4.694800e-04,8.210667e-01,2.664000e-01
-4.685100e-04,7.170666e-01,2.705333e-01
-4.675400e-04,6.356000e-01,2.873333e-01
-4.665700e-04,5.568000e-01,2.870667e-01
-4.656000e-04,4.694667e-01,2.754667e-01
-4.646300e-04,3.829333e-01,2.841333e-01
-4.636600e-04,2.924000e-01,2.770667e-01
-4.626900e-04,2.057333e-01,2.821333e-01
-4.617200e-04,1.109333e-01,3.002667e-01
-4.607500e-04,3.360000e-02,2.770667e-01
-4.597800e-04,-5.413333e-02,2.810667e-01
-4.588100e-04,-1.468000e-01,2.609333e-01
-4.578400e-04,-2.452000e-01,2.697333e-01
-4.568700e-04,-3.229333e-01,2.765333e-01
-4.559000e-04,-4.080000e-01,2.652000e-01
-4.549300e-04,-5.008000e-01,2.609333e-01
-4.539600e-04,-5.696000e-01,2.528000e-01
-4.529900e-04,-6.558667e-01,2.584000e-01
-4.520200e-04,-7.414667e-01,2.460000e-01
-4.510500e-04,-8.242667e-01,2.360000e-01
-4.500800e-04,-9.190667e-01,2.392000e-01
-4.491100e-04,-1.007600e+00,2.380000e-01
-4.481400e-04,-1.082933e+00,2.329333e-01
-4.471700e-04,-1.156133e+00,2.238667e-01
-4.462000e-04,-1.243467e+00,2.165333e-01
-4.452300e-04,-1.314667e+00,2.094667e-01
-4.442600e-04,-1.389200e+00,2.034667e-01
-4.432900e-04,-1.466133e+00,1.964000e-01
-4.423200e-04,-1.531600e+00,1.814667e-01
-4.413500e-04,-1.595200e+00,1.684000e-01
-4.403800e-04,-1.665467e+00,1.712000e-01
-4.394100e-04,-1.744000e+00,1.633333e-01
-4.384400e-04,-1.792533e+00,1.508000e-01
-4.374700e-04,-1.852133e+00,1.378667e-01
-4.365000e-04,-1.913867e+00,1.372000e-01
-4.355300e-04,-1.964667e+00,1.162667e-01
-4.345600e-04,-2.019333e+00,1.033333e-01
-4.335900e-04,-2.074400e+00,1.041333e-01
-4.326200e-04,-2.113600e+00,9.986667e-02
-4.316500e-04,-2.152400e+00,7.440000e-02
-4.306800e-04,-2.198667e+00,6.933334e-02
-4.297100e-04,-2.230933e+00,5.853333e-02
